"","Sample_ID","Actinomycetaceae","Bacillales_Incertae_Sedis_XI","Bacteroidaceae","Bifidobacteriaceae","Clostridiales_Incertae_Sedis_XI","Clostridiales_Incertae_Sedis_XII","Clostridiales_Incertae_Sedis_XIII","Desulfovibrionaceae","Enterobacteriaceae","Erysipelotrichaceae","Lachnospiraceae","Peptoniphilaceae","Peptostreptococcaceae","Porphyromonadaceae","Prevotellaceae","Rikenellaceae","Ruminococcaceae","Streptococcaceae","Veillonellaceae","Verrucomicrobiaceae","NA","Acidaminococcaceae","Carnobacteriaceae","Christensenellaceae","Coriobacteriaceae","Enterococcaceae","Sutterellaceae","Catabacteriaceae","Micrococcaceae","Leuconostocaceae","Pasteurellaceae","Aerococcaceae","Fusobacteriaceae","Lactobacillaceae","Staphylococcaceae","Aeromonadaceae","Neisseriaceae","Marinilabiliaceae","Eubacteriaceae","Bacillaceae_1","Clostridiaceae_1","Xanthomonadaceae"
"44","54_1",0,0,2950,34,0,13,107,185,0,43,2603,0,0,1752,133,946,2595,150,0,2,1075,364,0,3,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","54_4",3,0,5409,0,0,7,238,232,36,112,1708,0,0,3471,9,3030,2637,71,0,3,2295,834,0,0,5,5,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","58_4",0,0,5689,7,0,33,127,707,776,30,1376,3,6,1769,73,4925,4573,8,21,4,732,175,0,10,0,2,4,76,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"47","59_1",0,0,5697,2,0,19,54,100,145,5,3869,0,0,1203,2846,633,7522,23,15,2,3127,438,0,0,5,3,414,7,0,0,42,0,0,0,0,0,0,0,0,0,0,0
"48","62_2",8,0,9603,3,0,16,337,353,83,24,3234,0,0,1479,0,0,2776,393,8,12,1002,1491,2,5,0,0,547,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
"49","62_4",4,0,5903,20,0,22,189,204,0,26,2984,0,0,1324,0,0,3455,508,4,7,547,598,0,0,2,0,423,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0
"50","68_1",21,0,2820,16,0,29,7,299,982,181,7045,0,4,2293,59,177,788,237,0,23,393,621,5,0,31,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0
"51","68_4",3,0,9164,11,0,16,8,365,37,33,4565,0,0,4268,456,1202,3853,39,5,0,339,540,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"52","70_1",3,103,7836,2,173,0,18,124,5071,853,1788,0,48,712,2074,774,3899,616,626,0,2111,20,0,0,2,31,0,4,4,0,93,0,15,2,0,0,0,0,0,0,0,0
"53","71_1",0,0,9859,81,0,14,61,88,18,6,4372,0,0,2556,0,3003,2936,241,8,0,980,219,0,0,2,0,18,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0
"54","71_4",9,0,5485,25,0,0,3,164,11,48,8408,0,8,1172,106,12,1221,33,5,0,350,0,3,0,16,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","79_4",0,0,7082,0,0,30,33,24,5,835,6951,0,0,1663,2,3020,2465,48,174,0,353,0,0,9,0,0,717,2,0,0,10,0,0,0,0,0,0,0,3,0,0,0
"56","8_1",7,0,10912,8,0,0,14,157,364,0,2256,0,0,1173,10,1495,4459,136,227,3,272,0,0,0,3,0,33,2,14,0,34,0,0,0,0,0,0,0,0,0,7,0
"57","8_2",12,2,4372,32,0,0,3,20,10,0,6434,0,0,193,8,182,3599,141,47,0,372,0,2,0,9,0,53,0,2,0,45,0,0,0,0,0,0,0,0,0,0,0
"58","8_4",4,0,13302,13,0,0,14,219,4,2,7085,0,0,1914,0,1566,4390,62,25,0,801,0,0,0,5,0,183,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0
"59","81_1",6,3,2044,7,0,25,84,106,1027,1125,4122,0,2,2260,2210,2115,4005,1788,206,0,797,261,10,5,3,210,3,8,4,0,178,0,0,0,0,0,0,0,0,0,0,0
"60","81_2",4,0,1441,6,0,80,125,137,464,3717,2966,0,2,3611,216,2624,6182,1609,50,0,879,284,2,3,5,99,4,7,7,0,0,0,0,0,0,0,0,0,16,0,0,0
"61","81_4",3,2,2280,21,0,6,24,36,657,677,1933,2,2,2299,716,1101,3550,2892,175,0,214,269,2,0,2,54,4,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0
"62","82_1",0,0,3650,34,0,17,9,65,2019,60,1121,0,0,1564,4459,1597,3579,244,285,2,54,27,2,0,2,0,22,0,2,0,99,0,0,0,0,0,0,9,0,0,0,0
"63","82_4",15,0,4368,0,0,36,30,69,5863,164,3187,0,11,1626,3221,1552,3078,534,96,0,217,9,3,0,6,16,128,0,10,0,209,0,0,0,0,0,0,6,0,0,0,2
"64","85_4",3,0,9583,118,0,3,6,4,10,17,1708,0,2,1812,0,3302,4844,1165,76,0,275,103,2,0,0,0,890,0,2,0,218,0,0,0,0,0,0,0,0,0,0,0
"65","88_1",12,43,3300,0,0,0,17,315,48,76,2186,0,0,880,4190,603,2646,1744,1444,2,697,80,34,0,0,0,258,0,3,0,140,2,0,5,0,0,2,0,2,0,0,0
"66","88_4",9,58,9203,5,0,0,41,189,268,3,4093,0,0,2866,0,819,2487,1853,1135,6,118,0,36,0,0,0,4610,0,0,0,733,3,0,0,0,10,2,0,0,0,3,0
"67","9_2",2,2,6504,5,0,8,22,258,521,229,4260,0,0,2444,3,1184,3383,1200,138,10,186,506,10,0,6,9,0,0,7,0,76,0,0,0,0,0,0,0,0,0,0,0
"68","9_4",23,0,2785,26,0,10,31,60,1159,561,4070,0,0,751,0,731,2462,1040,15,3,492,509,6,0,11,4,0,2,6,0,6,0,0,0,0,0,0,0,4,0,0,0
